id	en	ru	in	vi	pt	el	de	es	cs	it	pl	fr	zh	sw	hi	ar	ko	ja	uk
policy	Privacy Policy	политика конфиденциальности	Kebijakan pribadi	Chính sách bảo mật	política de Privacidade	Πολιτική απορρήτου	Datenschutzrichtlinie	política de privacidad	Zásady ochrany osobních údajů	politica sulla riservatezza	Polityka prywatności	politique de confidentialité	隐私政策	Sera ya faragha	गोपनीयता नीति	سياسة الخصوصية	개인 정보 정책	プライバシーポリシー	Політика конфіденційності
terms	Terms & Conditions	Условия и условия	Syarat & Ketentuan	Điều khoản và điều kiện	termos e Condições	όροι και Προϋποθέσεις	Terms & amp; Bedingungen	Términos y condiciones	Všeobecné obchodní podmínky	Termini & Condizioni	Zasady i Warunki	termes et conditions	条款和条件	Masharti na Masharti	नियम एवं शर्तें	البنود و الظروف	이용 약관	利用規約	Загальні положення та умови
acc_example	Below is a twitter account utilizing the functionality of this app. Also checkout the source code of the app on Github.	Ниже приведена учетная запись в Твиттере, использующая функциональность этого приложения. Также проверьте исходный код приложения на GitHub.	Di bawah ini adalah akun Twitter yang menggunakan fungsionalitas aplikasi ini. Periksa juga kode sumber aplikasi di GitHub.	Dưới đây là một tài khoản Twitter sử dụng chức năng của ứng dụng này. Ngoài ra, hãy kiểm tra mã nguồn của ứng dụng trên GitHub.	Abaixo está uma conta do Twitter utilizando a funcionalidade deste aplicativo. Verifique também o código -fonte do aplicativo no GitHub.	Παρακάτω είναι ένας λογαριασμός Twitter που χρησιμοποιεί τη λειτουργικότητα αυτής της εφαρμογής. Επίσης, ελέγξτε τον πηγαίο κώδικα της εφαρμογής στο GitHub.	Im Folgenden finden Sie ein Twitter -Konto, das die Funktionalität dieser App verwendet. Schauen Sie sich auch den Quellcode der App auf GitHub an.	A continuación se muestra una cuenta de Twitter que utiliza la funcionalidad de esta aplicación. También consulte el código fuente de la aplicación en GitHub.	Níže je účet Twitter využívající funkčnost této aplikace. Také prohlédněte zdrojový kód aplikace na GitHubu.	Di seguito è riportato un account Twitter che utilizza la funzionalità di questa app. Dai un'occhiata anche al codice sorgente dell'app su GitHub.	Poniżej znajduje się konto na Twitterze wykorzystujące funkcjonalność tej aplikacji. Sprawdź także kod źródłowy aplikacji na GitHub.	Vous trouverez ci-dessous un compte Twitter utilisant la fonctionnalité de cette application. Découvrez également le code source de l'application sur GitHub.	以下是使用此应用程序功能的Twitter帐户。还要在GitHub上查看该应用程序的源代码。	Chini ni akaunti ya Twitter inayotumia utendaji wa programu hii. Pia angalia nambari ya chanzo ya programu kwenye GitHub.	नीचे एक ट्विटर खाता है जो इस ऐप की कार्यक्षमता का उपयोग करता है। इसके अलावा GitHub पर ऐप के स्रोत कोड की जाँच करें।	فيما يلي حساب Twitter باستخدام وظائف هذا التطبيق. أيضا الخروج عن الكود المصدري للتطبيق على جيثب.	아래는이 앱의 기능을 사용하는 트위터 계정입니다. 또한 GitHub에서 앱의 소스 코드를 확인하십시오.	以下は、このアプリの機能を利用したTwitterアカウントです。また、GitHubのアプリのソースコードをチェックアウトします。	Нижче наведено акаунт у Twitter, що використовує функціональність цього додатка. Також перевірити вихідний код програми на Github.
twitter_acc	Twitter account	Аккаунт в Твиттере	Akun Twitter	Tài khoản Twitter	Conta do Twitter	Λογαριασμός Twitter	Twitter -Konto	Cuenta de Twitter	Twitter účet	Account Twitter	Konto Twitter	Compte Twitter	Twitter帐户	Akaunti ya Twitter	ट्विटर खाता	حساب على موقع تويتر	트위터 계정	Twitterアカウント	Акаунт у Twitter
source_code	Source code	Исходный код	Kode sumber	Mã nguồn	Código fonte	Πηγαίος κώδικας	Quellcode	Código fuente	Zdrojový kód	Codice sorgente	Kod źródłowy	Code source	源代码	Nambari ya chanzo	सोर्स कोड	مصدر الرمز	소스 코드	ソースコード	Вихідний код
setup_title	Setup Steps	Настройки шагов	Siapkan langkah	Các bước thiết lập	Etapas de configuração	Βήματα εγκατάστασης	Setup -Schritte einrichten	Pasos de configuración	Kroky nastavení	Passaggi di configurazione	Kroki konfiguracji	Étapes de configuration	设置步骤	Hatua za kuanzisha	सेटअप चरण	خطوات الإعداد	설정 단계	セットアップ手順	Кроки налаштування
enable_notification	Enable Notification access	Включить доступ к уведомлению	Aktifkan akses pemberitahuan	Cho phép truy cập thông báo	Ativar acesso à notificação	Ενεργοποίηση πρόσβασης ειδοποίησης	Benachrichtigungszugriff aktivieren	Habilitar el acceso a la notificación	Povolit přístup k oznámení	Abilita l'accesso alla notifica	Włącz dostęp do powiadomień	Activer l'accès à la notification	启用通知访问	Wezesha ufikiaji wa arifa	अधिसूचना पहुंच सक्षम करें	تمكين الوصول إلى الإخطار	알림 액세스를 활성화합니다	通知アクセスを有効にします	Увімкнути доступ до сповіщення
notification_access_info	The retweet app works by accessing Twitter notifications and performing actions on them. Therefore it should be enabled to access notifications. Click on the enable notifcations access This should open the Notification access settings. Enable the Retweet app.	Приложение Retweet работает, получив уведомления в Твиттере и выполняя действия на них. Поэтому он должен быть включен для доступа к уведомлениям. Нажмите на доступ к Noveifcations. Включить приложение ретвита.	Aplikasi Retweet berfungsi dengan mengakses pemberitahuan Twitter dan melakukan tindakan pada mereka. Oleh karena itu harus diaktifkan untuk mengakses pemberitahuan. Klik Akses Pemberitahuan Aktifkan Ini harus membuka pengaturan akses pemberitahuan. Aktifkan aplikasi retweet.	Ứng dụng retweet hoạt động bằng cách truy cập các thông báo Twitter và thực hiện các hành động trên chúng. Do đó, nó nên được kích hoạt để truy cập thông báo. Nhấp vào Truy cập Bật Notifcations Điều này sẽ mở Cài đặt truy cập thông báo. Kích hoạt ứng dụng retweet.	O aplicativo Retweet funciona acessando notificações do Twitter e executando ações nelas. Portanto, deve ser ativado para acessar notificações. Clique nas Notifcations Ativar acesso Isso deve abrir as configurações de acesso à notificação. Ative o aplicativo Retweet.	Η εφαρμογή Retweet λειτουργεί με πρόσβαση σε ειδοποιήσεις στο Twitter και εκτελώντας ενέργειες σε αυτές. Ως εκ τούτου, θα πρέπει να είναι δυνατή η δυνατότητα πρόσβασης σε ειδοποιήσεις. Κάντε κλικ στο Enable Notifcations Access Αυτό θα πρέπει να ανοίξει τις ρυθμίσεις πρόσβασης ειδοποίησης. Ενεργοποιήστε την εφαρμογή Retweet.	Die Retweet -App greift auf Twitter -Benachrichtigungen und Durchführung von Aktionen auf. Daher sollte es aktiviert werden, um auf Benachrichtigungen zuzugreifen. Klicken Sie auf den Zugriff auf Benachrichtigung aktivieren. Dies sollte die Benachrichtigungszugriffeinstellungen öffnen. Aktivieren Sie die Retweet -App.	La aplicación Retweet funciona accediendo a las notificaciones de Twitter y realizando acciones en ellas. Por lo tanto, debe estar habilitado para acceder a notificaciones. Haga clic en el acceso de notifas de habilitación Esto debería abrir la configuración de acceso de notificación. Habilitar la aplicación Retweet.	Aplikace retweet funguje tak, že přístup k oznámení Twitter a prováděním akcí na nich. Proto by mělo být umožněno přístup k oznámeních. Klikněte na přístup k povolení k oznámení, které by mělo otevřít nastavení přístupu k oznámení. Povolte aplikaci Retweet.	L'app Retweet funziona accedendo alle notifiche di Twitter ed eseguendo azioni su di esse. Pertanto dovrebbe essere abilitato per accedere alle notifiche. Fare clic su Abilita Accesso Accesso Notifcations dovrebbe aprire le impostazioni di accesso alla notifica. Abilita l'app Retweet.	Aplikacja retweetowa działa, uzyskując dostęp do powiadomień na Twitterze i wykonując na nich działania. Dlatego należy włączyć dostęp do powiadomień. Kliknij Włącz Dostęp Notifcations To powinno otworzyć ustawienia dostępu do powiadomienia. Włącz aplikację retweetową.	L'application Retweet fonctionne en accédant aux notifications Twitter et en effectuant des actions sur eux. Par conséquent, il doit être permis d'accéder aux notifications. Cliquez sur l'accès Activer Notifcations Ceci devrait ouvrir les paramètres d'accès à la notification. Activez l'application Retweet.	转发应用程序通过访问Twitter通知并在其上执行操作来工作。因此，应启用它访问通知。单击“启用通知”访问，这应打开通知访问设置。启用转发应用程序。	Programu ya Retweet inafanya kazi kwa kupata arifa za Twitter na kufanya vitendo juu yao. Kwa hivyo inapaswa kuwezeshwa kupata arifa. Bonyeza kwenye Ufikiaji wa Arifa za Arifa Hii inapaswa kufungua mipangilio ya ufikiaji wa arifa. Wezesha programu ya Retweet.	RETWEET ऐप ट्विटर नोटिफिकेशन और उन पर कार्रवाई करने से काम करता है। इसलिए इसे सूचनाओं तक पहुंचने में सक्षम होना चाहिए। Enable Notifcations एक्सेस पर क्लिक करें यह अधिसूचना एक्सेस सेटिंग्स खोलना चाहिए। RETWEET ऐप सक्षम करें।	يعمل تطبيق Retweet من خلال الوصول إلى إعلامات Twitter وإجراءاتها. لذلك ينبغي تمكينه للوصول إلى الإخطارات. انقر فوق "تمكين الوصول إلى الملاحظات" ، يجب أن يفتح هذا إعدادات الوصول إلى الإخطار. تمكين تطبيق إعادة تغريد.	리트 윗 앱은 트위터 알림에 액세스하고 조치를 수행하여 작동합니다. 따라서 알림에 액세스 할 수 있도록 활성화해야합니다. 알림 액세스 활성화를 클릭하십시오. 알림 액세스 설정을 열어야합니다. 리트 윗 앱을 활성화하십시오.	リツイートアプリは、Twitter通知にアクセスし、アクションを実行することで機能します。したがって、通知にアクセスできるようにする必要があります。 [Notifcations Access]をクリックして、通知アクセス設定を開く必要があります。リツイートアプリを有効にします。	Додаток Retweet працює, отримуючи доступ до сповіщень у Twitter та виконуючи дії на них. Тому йому слід дозволити доступ до сповіщень. Клацніть на доступу до уваги доступу, який повинен відкрити налаштування доступу до сповіщень. Увімкнути додаток Retweet.
access_limitation	NB: Not all Android version may offer this feature to the end user. This is common for android Go editions. Device manufactures choose how to modify the Android OS for their devices. Notification access is critical to the working of this app and must be enabled. If you can't enable it for whatever reason, the app won't work. This is not something we have control of, therefore we can't help. Once enabled, you can test by using the Test Notification feature. The retweet app will create a notification and test if it can read it. If successful, you can enable the functions for the retweet app.	NB: Не вся версия Android может предложить эту функцию конечному пользователю. Это часто для Android Go Editions. Производство устройств Выберите, как изменить ОС Android для своих устройств. Доступ уведомления имеет решающее значение для работы этого приложения и должен быть включен. Если вы не можете включить это по какой -либо причине, приложение не сработает. Это не то, над чем мы контролируем, поэтому мы не можем помочь. После включения вы можете проверить, используя функцию тестового уведомления. Приложение Retweet создаст уведомление и тестирует, если оно сможет прочитать его. В случае успеха вы можете включить функции для приложения ретвита.	NB: Tidak semua versi Android dapat menawarkan fitur ini kepada pengguna akhir. Ini umum untuk edisi Android Go. Pabrikan perangkat memilih cara memodifikasi OS Android untuk perangkat mereka. Akses pemberitahuan sangat penting untuk pekerjaan aplikasi ini dan harus diaktifkan. Jika Anda tidak dapat mengaktifkannya karena alasan apa pun, aplikasi tidak akan berfungsi. Ini bukan sesuatu yang kami kendalikan, oleh karena itu kami tidak dapat membantu. Setelah diaktifkan, Anda dapat menguji dengan menggunakan fitur pemberitahuan tes. Aplikasi Retweet akan membuat pemberitahuan dan menguji jika dapat membacanya. Jika berhasil, Anda dapat mengaktifkan fungsi untuk aplikasi Retweet.	NB: Không phải tất cả phiên bản Android có thể cung cấp tính năng này cho người dùng cuối. Điều này là phổ biến cho phiên bản Android Go. Thiết bị sản xuất chọn cách sửa đổi hệ điều hành Android cho thiết bị của họ. Truy cập thông báo là rất quan trọng đối với hoạt động của ứng dụng này và phải được bật. Nếu bạn không thể bật nó vì bất kỳ lý do gì, ứng dụng sẽ không hoạt động. Đây không phải là thứ chúng tôi có quyền kiểm soát, do đó chúng tôi không thể giúp. Sau khi được bật, bạn có thể kiểm tra bằng cách sử dụng tính năng thông báo kiểm tra. Ứng dụng tiếp tục sẽ tạo một thông báo và kiểm tra nếu nó có thể đọc nó. Nếu thành công, bạn có thể kích hoạt các chức năng cho ứng dụng tweet.	NB: Nem toda a versão Android pode oferecer esse recurso ao usuário final. Isso é comum para edições do Android Go. Os fabricantes de dispositivos escolhem como modificar o sistema operacional Android para seus dispositivos. O acesso à notificação é fundamental para o funcionamento deste aplicativo e deve ser ativado. Se você não puder habilitá -lo por qualquer motivo, o aplicativo não funcionará. Isso não é algo de que temos controle, portanto, não podemos ajudar. Uma vez ativado, você pode testar usando o recurso de notificação de teste. O aplicativo Retweet criará uma notificação e testará se puder lê -lo. Se for bem -sucedido, você pode ativar as funções do aplicativo Retweet.	ΣΗΜΕΙΩΣΗ: Δεν μπορεί να προσφέρει αυτή τη λειτουργία όλη η έκδοση Android στον τελικό χρήστη. Αυτό είναι κοινό για τις εκδόσεις Android GO. Οι κατασκευές συσκευών επιλέγουν τον τρόπο τροποποίησης του λειτουργικού συστήματος Android για τις συσκευές τους. Η πρόσβαση ειδοποίησης είναι κρίσιμη για τη λειτουργία αυτής της εφαρμογής και πρέπει να είναι ενεργοποιημένη. Εάν δεν μπορείτε να το ενεργοποιήσετε για οποιονδήποτε λόγο, η εφαρμογή δεν θα λειτουργήσει. Αυτό δεν είναι κάτι που έχουμε τον έλεγχο, επομένως δεν μπορούμε να βοηθήσουμε. Μόλις ενεργοποιηθεί, μπορείτε να δοκιμάσετε χρησιμοποιώντας τη λειτουργία ειδοποίησης δοκιμής. Η εφαρμογή Retweet θα δημιουργήσει μια ειδοποίηση και θα δοκιμάσει εάν μπορεί να την διαβάσει. Εάν είναι επιτυχής, μπορείτε να ενεργοποιήσετε τις λειτουργίες για την εφαρμογή Retweet.	NB: Nicht alle Android -Version bieten diese Funktion dem Endbenutzer an. Dies ist für Android Go -Editionen üblich. Gerätehersteller wählen, wie das Android -Betriebssystem für ihre Geräte geändert wird. Der Benachrichtigungszugriff ist für die Arbeit dieser App von entscheidender Bedeutung und muss aktiviert sein. Wenn Sie es aus irgendeinem Grund nicht aktivieren können, funktioniert die App nicht. Dies ist nichts, worüber wir die Kontrolle haben, deshalb können wir nicht helfen. Sobald Sie aktiviert sind, können Sie mit der Funktion "Testbenachrichtigung" testen. Die Retweet -App erstellt eine Benachrichtigung und testet, wenn sie sie lesen kann. Wenn Sie erfolgreich sind, können Sie die Funktionen für die Retweet -App aktivieren.	NB: No toda la versión de Android puede ofrecer esta función al usuario final. Esto es común para las ediciones de Android Go. Los fabricantes de dispositivos eligen cómo modificar el sistema operativo Android para sus dispositivos. El acceso a la notificación es fundamental para el funcionamiento de esta aplicación y debe estar habilitado. Si no puede habilitarlo por cualquier razón, la aplicación no funcionará. Esto no es algo de lo que tengamos control, por lo tanto, no podemos ayudar. Una vez habilitado, puede probar utilizando la función de notificación de prueba. La aplicación Retweet creará una notificación y prueba si puede leerla. Si tiene éxito, puede habilitar las funciones para la aplicación Retweet.	NB: Ne všechna verze Android může tuto funkci nabídnout koncovému uživateli. To je běžné pro vydání Android Go. Výrobce zařízení Vyberte, jak upravit operační systém Android pro jejich zařízení. Přístup k oznámení je rozhodující pro fungování této aplikace a musí být povolen. Pokud to z jakéhokoli důvodu nemůžete povolit, aplikace nebude fungovat. To není něco, o čem máme kontrolu, proto si nemůžeme pomoci. Jakmile je povoleno, můžete vyzkoušet pomocí funkce oznámení o testování. Aplikace Retweet vytvoří oznámení a otestuje, zda si ji dokáže přečíst. Pokud je úspěšný, můžete povolit funkce pro aplikaci Retweet.	NB: non tutta la versione Android può offrire questa funzione all'utente finale. Questo è comune per le edizioni Android Go. I produttori di dispositivi scelgono come modificare il sistema operativo Android per i loro dispositivi. L'accesso alla notifica è fondamentale per il funzionamento di questa app e deve essere abilitato. Se non puoi abilitarlo per qualsiasi motivo, l'app non funzionerà. Questo non è qualcosa di cui abbiamo il controllo, quindi non possiamo fare a meno. Una volta abilitato, è possibile testare utilizzando la funzione di notifica del test. L'app Retweet creerà una notifica e test se può leggerlo. In caso di successo, è possibile abilitare le funzioni per l'app Retweet.	NB: Nie cała wersja Androida może zaoferować tę funkcję użytkownikowi końcowi. Jest to powszechne w przypadku Editions Android Go. Producenci urządzeń wybierają sposób modyfikacji systemu systemu Android dla swoich urządzeń. Dostęp do powiadomień ma kluczowe znaczenie dla działania tej aplikacji i musi być włączone. Jeśli nie możesz go włączyć z jakiegokolwiek powodu, aplikacja nie będzie działać. To nie jest coś, nad czym mamy kontrolę, dlatego nie możemy pomóc. Po włączeniu możesz przetestować przy użyciu funkcji powiadomienia testu. Aplikacja retweetowa utworzy powiadomienie i przetestuje, czy może je odczytać. Jeśli się powiedzie, możesz włączyć funkcje aplikacji retweetowej.	NB: toutes les versions Android ne peuvent pas offrir cette fonctionnalité à l'utilisateur final. Ceci est courant pour les éditions Android Go. Les fabricants d'appareils choisissent comment modifier le système d'exploitation Android pour leurs appareils. L'accès à la notification est essentiel au fonctionnement de cette application et doit être activé. Si vous ne pouvez pas l'activer pour une raison quelconque, l'application ne fonctionnera pas. Ce n'est pas quelque chose dont nous avons le contrôle, donc nous ne pouvons pas nous empêcher. Une fois activé, vous pouvez tester en utilisant la fonction de notification de test. L'application Retweet créera une notification et testera si elle peut la lire. En cas de succès, vous pouvez activer les fonctions de l'application Retweet.	NB：并非所有的Android版本都可以为最终用户提供此功能。这对于Android GO版本很常见。设备制造选择如何为其设备修改Android OS。通知访问对于此应用程序的工作至关重要，必须启用。如果出于任何原因无法启用它，则该应用将无法正常工作。这不是我们控制的东西，因此我们无能为力。启用后，您可以使用测试通知功能进行测试。转发应用程序将创建通知并测试是否可以读取它。如果成功，您可以启用转发应用程序的功能。	NB: Sio toleo lote la Android linaloweza kutoa huduma hii kwa mtumiaji wa mwisho. Hii ni kawaida kwa matoleo ya Android Go. Vitendaji vya kifaa Chagua jinsi ya kurekebisha OS ya Android kwa vifaa vyao. Ufikiaji wa arifu ni muhimu kwa kazi ya programu hii na lazima kuwezeshwa. Ikiwa huwezi kuiwezesha kwa sababu yoyote, programu haitafanya kazi. Hili sio kitu tunachodhibiti, kwa hivyo hatuwezi kusaidia. Mara tu kuwezeshwa, unaweza kujaribu kwa kutumia kipengee cha arifa ya mtihani. Programu ya Retweet itaunda arifa na mtihani ikiwa inaweza kuisoma. Ikiwa imefanikiwa, unaweza kuwezesha kazi za programu ya Retweet.	NB: सभी Android संस्करण इस सुविधा को अंतिम उपयोगकर्ता को नहीं दे सकते हैं। यह Android Go संस्करणों के लिए आम है। डिवाइस मैन्युफैक्चरर्स अपने उपकरणों के लिए एंड्रॉइड ओएस को संशोधित करने का तरीका चुनें। अधिसूचना का उपयोग इस ऐप के काम के लिए महत्वपूर्ण है और इसे सक्षम किया जाना चाहिए। यदि आप इसे किसी भी कारण से सक्षम नहीं कर सकते हैं, तो ऐप काम नहीं करेगा। यह कुछ ऐसा नहीं है जिस पर हमारा नियंत्रण है, इसलिए हम मदद नहीं कर सकते। एक बार सक्षम होने के बाद, आप परीक्षण अधिसूचना सुविधा का उपयोग करके परीक्षण कर सकते हैं। RETWEET ऐप एक अधिसूचना और परीक्षण करेगा यदि वह इसे पढ़ सकता है। सफल होने पर, आप RETWEET ऐप के लिए फ़ंक्शन को सक्षम कर सकते हैं।	NB: ليس كل إصدار Android قد يقدم هذه الميزة للمستخدم النهائي. هذا أمر شائع لنسخة Android Go. تختار تصنيع الأجهزة كيفية تعديل نظام التشغيل Android لأجهزةه. يعد الوصول إلى الإخطار أمرًا ضروريًا لعمل هذا التطبيق ويجب تمكينه. إذا لم تتمكن من تمكينه لأي سبب من الأسباب ، فلن يعمل التطبيق. هذا ليس شيئًا نتحكم فيه ، لذلك لا يمكننا المساعدة. بمجرد تمكينك ، يمكنك الاختبار باستخدام ميزة إخطار الاختبار. سيقوم تطبيق Retweet بإنشاء إشعار واختبار إذا كان بإمكانه قراءته. إذا نجحت ، يمكنك تمكين وظائف تطبيق Retweet.	NB : 모든 Android 버전이 최종 사용자 에게이 기능을 제공 할 수있는 것은 아닙니다. 이것은 Android Go 에디션에서 일반적입니다. 장치 제조업체는 장치의 Android OS를 수정하는 방법을 선택합니다. 알림 액세스는이 앱의 작동에 중요하며 활성화되어야합니다. 어떤 이유로 든 활성화 할 수 없다면 앱이 작동하지 않습니다. 이것은 우리가 통제 할 수있는 것이 아니므로 도울 수 없습니다. 활성화되면 테스트 알림 기능을 사용하여 테스트 할 수 있습니다. 리트 윗 앱은 알림을 작성하고 읽을 수 있는지 테스트합니다. 성공하면 리트 윗 앱의 기능을 활성화 할 수 있습니다.	NB：すべてのAndroidバージョンがこの機能をエンドユーザーに提供するわけではありません。これは、Android Goエディションで一般的です。デバイスメーカーは、デバイスのAndroid OSを変更する方法を選択します。通知アクセスは、このアプリの動作に重要であり、有効にする必要があります。何らかの理由で有効にすることができない場合、アプリは機能しません。これは私たちがコントロールしているものではないので、私たちは助けることができません。有効になったら、テスト通知機能を使用してテストできます。リツイートアプリは、通知を作成し、読み取ることができるかどうかをテストします。成功した場合は、リツイートアプリの機能を有効にすることができます。	NB: Не вся версія Android може запропонувати цю функцію кінцевому користувачеві. Це поширене для Android Go Editions. Виробники пристроїв вибирають, як модифікувати ОС Android для своїх пристроїв. Доступ до сповіщень має вирішальне значення для роботи цього додатка і повинен бути включений. Якщо ви не можете ввімкнути це з будь -якої причини, додаток не спрацює. Це не те, що ми маємо контроль, тому ми не можемо допомогти. Після ввімкнення ви можете перевірити, використовуючи функцію тесту. Додаток Retweet створить сповіщення та перевірить, якщо воно може його прочитати. У разі успіху ви можете ввімкнути функції для програми Retweet.
enable_twitter	Enable Twitter Notifications	Включить уведомления в Твиттере	Aktifkan pemberitahuan Twitter	Cho phép thông báo Twitter	Ativar notificações do Twitter	Ενεργοποίηση ειδοποιήσεων στο Twitter	Aktivieren Sie Twitter -Benachrichtigungen	Habilitar notificaciones de Twitter	Povolit oznámení Twitter	Abilita le notifiche di Twitter	Włącz powiadomienia na Twitterze	Activer les notifications Twitter	启用Twitter通知	Wezesha arifa za Twitter	ट्विटर नोटिफिकेशन सक्षम करें	تمكين إشعارات تويتر	트위터 알림을 활성화합니다	Twitter通知を有効にします	Увімкнути сповіщення Twitter
twitter_enabled	Now that notification access is enabled, the next step is to ensure you can receive Twitter notifications. Allow the Twitter app to send you notifications by enabling it in your phone settings	Теперь, когда доступ к уведомлениям включен, следующим шагом является убедиться, что вы можете получить уведомления в Твиттере. Позвольте приложению Twitter отправлять вам уведомления, включив его в настройках телефона	Sekarang setelah akses pemberitahuan diaktifkan, langkah selanjutnya adalah memastikan Anda dapat menerima pemberitahuan Twitter. Izinkan aplikasi Twitter untuk mengirimi Anda pemberitahuan dengan mengaktifkannya di pengaturan telepon Anda	Bây giờ truy cập thông báo đã được bật, bước tiếp theo là đảm bảo bạn có thể nhận được thông báo Twitter. Cho phép ứng dụng Twitter gửi cho bạn thông báo bằng cách bật nó trong cài đặt điện thoại của bạn	Agora que o acesso à notificação está ativado, a próxima etapa é garantir que você possa receber notificações no Twitter. Permita que o aplicativo do Twitter envie notificações, permitindo -o nas configurações do seu telefone	Τώρα που η πρόσβαση ειδοποίησης είναι ενεργοποιημένη, το επόμενο βήμα είναι να διασφαλίσετε ότι μπορείτε να λάβετε ειδοποιήσεις Twitter. Επιτρέψτε στην εφαρμογή Twitter να σας στείλει ειδοποιήσεις, επιτρέποντάς την στις ρυθμίσεις του τηλεφώνου σας	Nachdem der Benachrichtigungszugriff aktiviert ist, besteht der nächste Schritt dafür, dass Sie Twitter -Benachrichtigungen erhalten können. Ermöglichen Sie der Twitter -App, Ihnen Benachrichtigungen zu senden, indem Sie diese in Ihren Telefoneinstellungen aktivieren	Ahora que el acceso a la notificación está habilitado, el siguiente paso es asegurarse de que puede recibir notificaciones de Twitter. Permitir que la aplicación de Twitter le envíe notificaciones habilitándola en la configuración de su teléfono	Nyní je povolen přístup k oznámení, dalším krokem je zajistit, abyste mohli přijímat oznámení Twitter. Nechte aplikaci Twitter zasílat oznámení o jejím povolením v nastavení telefonu	Ora che l'accesso alla notifica è abilitato, il prossimo passo è assicurarsi di poter ricevere notifiche su Twitter. Consenti all'app Twitter di inviare le notifiche abilitandole nelle impostazioni del telefono	Teraz, gdy dostęp do powiadomień jest włączony, następnym krokiem jest upewnienie się, że możesz otrzymać powiadomienia na Twitterze. Pozwól aplikacji na Twitterze wysłać powiadomienia, włączając je w ustawieniach telefonicznych	Maintenant que l'accès à la notification est activé, la prochaine étape consiste à vous assurer de recevoir des notifications Twitter. Permettez à l'application Twitter de vous envoyer des notifications en l'activant dans les paramètres de votre téléphone	现在启用了通知访问，下一步是确保您可以接收Twitter通知。允许Twitter应用程序通过在手机设置中启用通知来向您发送通知	Sasa kwa kuwa ufikiaji wa arifa umewezeshwa, hatua inayofuata ni kuhakikisha kuwa unaweza kupokea arifa za Twitter. Ruhusu programu ya Twitter kukutumia arifa kwa kuiwezesha katika mipangilio yako ya simu	अब यह अधिसूचना पहुंच सक्षम है, अगला कदम यह सुनिश्चित करना है कि आप ट्विटर नोटिफिकेशन प्राप्त कर सकते हैं। ट्विटर ऐप को अपने फोन सेटिंग्स में सक्षम करके आपको सूचनाएं भेजने की अनुमति दें	الآن بعد تمكين الوصول إلى الإخطار ، تتمثل الخطوة التالية في التأكد من استلام إخطارات Twitter. اسمح لتطبيق Twitter بإرسال إشعارات عن طريق تمكينه في إعدادات هاتفك	알림 액세스가 활성화되었으므로 다음 단계는 트위터 알림을받을 수 있도록하는 것입니다. Twitter 앱이 전화 설정에서 알림을 보내도록 허용합니다.	通知アクセスが有効になったため、次のステップはTwitter通知を確実に受信できるようにすることです。 Twitterアプリが通知を送信できるようにします。電話設定で有効にしてください	Тепер, коли доступ до сповіщення ввімкнено, наступним кроком є ​​переконання, що ви можете отримати повідомлення в Twitter. Дозвольте додатку Twitter надсилати вам сповіщення, увімкнувши його у налаштуваннях телефону
